method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
smc_diff_opt,1.0,100,1,101,2.140071514822018
smc_diff_opt,1.0,100,1,404,0.5522323828587468
smc_diff_opt,1.0,100,1,1000,2.9904383483275
smc_diff_opt,1.0,100,2,0,0.319466845605332
smc_diff_opt,1.0,100,2,10,0.4158634404683039
smc_diff_opt,1.0,100,2,100,0.3256197136572727
smc_diff_opt,1.0,100,2,101,0.9321872552517764
smc_diff_opt,1.0,100,2,404,1.171749312952262
smc_diff_opt,1.0,100,2,1000,0.183003194997635
smc_diff_opt,1.0,100,4,0,0.1398628448879753
smc_diff_opt,1.0,100,4,10,0.7498718742859958
smc_diff_opt,1.0,100,4,100,0.4333077384852129
smc_diff_opt,1.0,100,4,101,1.53059965670321
smc_diff_opt,1.0,100,4,404,0.6842769848998823
smc_diff_opt,1.0,100,4,1000,0.5809374136216259
vjp_guidance,0.1,10,1,0,2.868552610966243
vjp_guidance,0.1,10,1,10,2.487812661159245
vjp_guidance,0.1,10,1,100,3.2930466511924728
vjp_guidance,0.1,10,1,101,0.5690835177277579
vjp_guidance,0.1,10,1,404,7.875665539793219
vjp_guidance,0.1,10,1,1000,0.6157361766256738
vjp_guidance,0.1,10,2,0,3.9518036886953776
vjp_guidance,0.1,10,2,10,0.7135697232485613
vjp_guidance,0.1,10,2,100,5.220332008863559
vjp_guidance,0.1,10,2,101,1.7891314341811777
vjp_guidance,0.1,10,2,404,9.901198829619956
vjp_guidance,0.1,10,2,1000,0.2513874835642153
vjp_guidance,0.1,10,4,0,1.3749560095980609
vjp_guidance,0.1,10,4,10,0.27224506541865584
vjp_guidance,0.1,10,4,100,2.6399180617355547
vjp_guidance,0.1,10,4,101,0.048632321064190416
vjp_guidance,0.1,10,4,404,1.4056026795606362
vjp_guidance,0.1,10,4,1000,0.06117204792735809
vjp_guidance,0.1,100,1,0,2.971612424909215
vjp_guidance,0.1,100,1,10,0.7077643739343502
vjp_guidance,0.1,100,1,100,4.5065770234623255
vjp_guidance,0.1,100,1,101,7.402516282487812
vjp_guidance,0.1,100,1,404,7.25910626811603
vjp_guidance,0.1,100,1,1000,0.9067453696858271
vjp_guidance,0.1,100,2,0,2.480453531636378
vjp_guidance,0.1,100,2,10,0.7565149000066296
vjp_guidance,0.1,100,2,100,6.036792128002697
vjp_guidance,0.1,100,2,101,5.502399091236839
vjp_guidance,0.1,100,2,404,1.0041367157747771
vjp_guidance,0.1,100,2,1000,0.7876583158680848
vjp_guidance,0.1,100,4,0,0.2471560795553277
vjp_guidance,0.1,100,4,10,0.3388104545190183
vjp_guidance,0.1,100,4,100,2.3014258254442104
vjp_guidance,0.1,100,4,101,1.9976406846845267
vjp_guidance,0.1,100,4,404,2.4725901948718545
vjp_guidance,0.1,100,4,1000,0.2811122509278684
vjp_guidance,0.5,10,1,0,2.713873666631033
vjp_guidance,0.5,10,1,10,2.1354670618992797
vjp_guidance,0.5,10,1,100,1.5473438852024768
vjp_guidance,0.5,10,1,101,0.5363057368402586
vjp_guidance,0.5,10,1,404,0.6232285579505334
vjp_guidance,0.5,10,1,1000,0.6083361805285711
vjp_guidance,0.5,10,2,0,3.3858341074589124
vjp_guidance,0.5,10,2,10,0.8255063123908994
vjp_guidance,0.5,10,2,100,2.105802152424895
vjp_guidance,0.5,10,2,101,0.8811728464235031
vjp_guidance,0.5,10,2,404,3.703233049040016
vjp_guidance,0.5,10,2,1000,0.21960515415654328
vjp_guidance,0.5,10,4,0,1.3768684804410063
vjp_guidance,0.5,10,4,10,1.865366960663558
vjp_guidance,0.5,10,4,100,2.5237158657893763
vjp_guidance,0.5,10,4,101,0.2638426151603105
vjp_guidance,0.5,10,4,404,1.3305044451515733
vjp_guidance,0.5,10,4,1000,0.28399247745970313
vjp_guidance,0.5,100,1,0,2.640095586609294
vjp_guidance,0.5,100,1,10,0.7096108462201692
vjp_guidance,0.5,100,1,100,1.572046484667874
vjp_guidance,0.5,100,1,101,4.591124342741292
vjp_guidance,0.5,100,1,404,0.6488184427580311
vjp_guidance,0.5,100,1,1000,0.8427547943924283
vjp_guidance,0.5,100,2,0,1.98281939797152
vjp_guidance,0.5,100,2,10,0.429473623974199
vjp_guidance,0.5,100,2,100,2.3419061716350846
vjp_guidance,0.5,100,2,101,0.4116576413368273
vjp_guidance,0.5,100,2,404,2.0688930918166464
vjp_guidance,0.5,100,2,1000,0.437470492691275
vjp_guidance,0.5,100,4,0,0.2417288749683865
vjp_guidance,0.5,100,4,10,0.6625200680414887
vjp_guidance,0.5,100,4,100,1.875218915706892
vjp_guidance,0.5,100,4,101,1.0326947379780134
vjp_guidance,0.5,100,4,404,2.401764286332575
vjp_guidance,0.5,100,4,1000,0.7873597407495372
vjp_guidance,1.0,10,1,0,1.7462277726815387
vjp_guidance,1.0,10,1,10,1.8623170362874701
vjp_guidance,1.0,10,1,100,0.7803310013387259
vjp_guidance,1.0,10,1,101,0.36926143307458886
vjp_guidance,1.0,10,1,404,0.608580207155719
vjp_guidance,1.0,10,1,1000,0.4851024736557398
vjp_guidance,1.0,10,2,0,1.6160519422659407
vjp_guidance,1.0,10,2,10,0.6128453598545932
vjp_guidance,1.0,10,2,100,0.9735639051999806
vjp_guidance,1.0,10,2,101,0.8066042428921277
vjp_guidance,1.0,10,2,404,0.7081904378092551
vjp_guidance,1.0,10,2,1000,0.44193037095067983
vjp_guidance,1.0,10,4,0,1.2222286443321002
vjp_guidance,1.0,10,4,10,2.7757378285618617
vjp_guidance,1.0,10,4,100,2.546818207794758
vjp_guidance,1.0,10,4,101,1.018805819807762
vjp_guidance,1.0,10,4,404,1.374895734184962
vjp_guidance,1.0,10,4,1000,1.041214127357682
vjp_guidance,1.0,100,1,0,1.278684518660865
vjp_guidance,1.0,100,1,10,0.5685154862938476
vjp_guidance,1.0,100,1,100,0.9771762477339456
